"","metric","race_indicator","week","geography","mean","se","other_mean","other_se","diff_mean","diff_se","geo_type"
"1","uninsured","black","wk1_2","Boston-Cambridge-Newton, MA-NH",0.189117050420475,0.0684010385226077,0.0456065375562609,0.00387116037486405,-0.143510512864214,0.069274420576219,"msa"
"2","uninsured","black","wk2_3","Boston-Cambridge-Newton, MA-NH",0.0929069515496163,0.0558317256601768,0.0504935435629874,0.00586435131430881,-0.0424134079866289,0.0584351227353369,"msa"
"3","uninsured","black","wk3_4","Boston-Cambridge-Newton, MA-NH",0.165246681625585,0.0612953213711147,0.0491264691706833,0.00515269471212713,-0.116120212454902,0.0616440727802743,"msa"
"4","uninsured","black","wk4_5","Boston-Cambridge-Newton, MA-NH",0.19149030959689,0.0646959347787555,0.0313019908588403,0.00334030053896784,-0.16018831873805,0.0639190330793538,"msa"
"5","uninsured","black","wk5_6","Boston-Cambridge-Newton, MA-NH",0.0766531307300326,0.0410398118355865,0.0364248093953783,0.00371347376842085,-0.0402283213346543,0.0389288058169971,"msa"
"6","uninsured","black","wk1_2","Atlanta-Sandy Springs-Roswell, GA",0.156477747869921,0.0502308828288025,0.146674929924523,0.00898817553982033,-0.00980281794539842,0.0534267845611225,"msa"
"7","uninsured","black","wk2_3","Atlanta-Sandy Springs-Roswell, GA",0.177007645625504,0.0535998192100427,0.142200533238634,0.0117080194836786,-0.0348071123868698,0.0632958840683151,"msa"
"8","uninsured","black","wk3_4","Atlanta-Sandy Springs-Roswell, GA",0.177616887744468,0.0348215479644479,0.145884355351463,0.00968881046357642,-0.0317325323930056,0.0449579351320158,"msa"
"9","uninsured","black","wk4_5","Atlanta-Sandy Springs-Roswell, GA",0.172878106630588,0.0280365709024159,0.120656800287053,0.00774203210369446,-0.0522213063435345,0.0310230506499515,"msa"
"10","uninsured","black","wk5_6","Atlanta-Sandy Springs-Roswell, GA",0.172478294268105,0.0293212028045163,0.161601076204457,0.012458155380254,-0.0108772180636482,0.0375375816209472,"msa"
"11","uninsured","black","wk1_2","Los Angeles-Long Beach-Anaheim, CA",0.344575625113847,0.138869797465158,0.140482130893804,0.0122686805007225,-0.204093494220043,0.139915696665097,"msa"
"12","uninsured","black","wk2_3","Los Angeles-Long Beach-Anaheim, CA",0.491834220901129,0.17828520923402,0.151478030582777,0.0139088062573364,-0.340356190318352,0.181835954493978,"msa"
"13","uninsured","black","wk3_4","Los Angeles-Long Beach-Anaheim, CA",0.327922805480974,0.105914429739206,0.154605819451847,0.00929088716312781,-0.173316986029127,0.108265661112586,"msa"
"14","uninsured","black","wk4_5","Los Angeles-Long Beach-Anaheim, CA",0.130746122999851,0.0469264425969714,0.158183196116886,0.00892103899219253,0.027437073117035,0.0471681533674314,"msa"
"15","uninsured","black","wk5_6","Los Angeles-Long Beach-Anaheim, CA",0.0188282661231318,0.011623373637811,0.140201436734319,0.00813541376152009,0.121373170611188,0.0207774232381043,"msa"
"16","uninsured","black","wk1_2","Phoenix-Mesa-Scottsdale, AZ",0.0940907370360307,0.0443044921186053,0.149315880279801,0.0119810016473181,0.0552251432437706,0.0473744705248571,"msa"
"17","uninsured","black","wk2_3","Phoenix-Mesa-Scottsdale, AZ",0.179597646096614,0.0833206090797027,0.143822618372689,0.0132594215648693,-0.0357750277239257,0.0844076579812298,"msa"
"18","uninsured","black","wk3_4","Phoenix-Mesa-Scottsdale, AZ",0.136928663041179,0.0649392095673121,0.178346745449666,0.00933576648665646,0.0414180824084866,0.0662492082646436,"msa"
"19","uninsured","black","wk4_5","Phoenix-Mesa-Scottsdale, AZ",0.158971731718047,0.0591462781710016,0.162770703142704,0.00847237641528496,0.00379897142465771,0.0582811127052496,"msa"
"20","uninsured","black","wk5_6","Phoenix-Mesa-Scottsdale, AZ",0.188710994646903,0.0642626095600098,0.155706863130949,0.00768944266364366,-0.0330041315159539,0.0603042742600393,"msa"
"21","uninsured","black","wk1_2","New York-Newark-Jersey City, NY-NJ-PA",0.167181149025485,0.0502359842527858,0.101689566339555,0.00701780269575171,-0.0654915826859307,0.0518579467973155,"msa"
"22","uninsured","black","wk2_3","New York-Newark-Jersey City, NY-NJ-PA",0.100521912240111,0.0410034018723086,0.119472948755305,0.00890797947959609,0.0189510365151947,0.0445443457504885,"msa"
"23","uninsured","black","wk3_4","New York-Newark-Jersey City, NY-NJ-PA",0.0484490878973217,0.0145333275737194,0.112926003567518,0.00580778899560042,0.0644769156701966,0.0200264000741257,"msa"
"24","uninsured","black","wk4_5","New York-Newark-Jersey City, NY-NJ-PA",0.0589621053770889,0.0143920123100486,0.0898578915826786,0.00452327439855095,0.0308957862055897,0.0182594460829412,"msa"
"25","uninsured","black","wk5_6","New York-Newark-Jersey City, NY-NJ-PA",0.0569865138934683,0.0141662468601892,0.0907511109759441,0.00629510743983394,0.0337645970824758,0.0184123463724451,"msa"
"26","uninsured","black","wk1_2","San Francisco-Oakland-Hayward, CA",0.0697097983217481,0.0631330229151267,0.053032781478258,0.00862582563580082,-0.0166770168434901,0.0672957170848232,"msa"
"27","uninsured","black","wk2_3","San Francisco-Oakland-Hayward, CA",0.0626471515334012,0.0673339317381771,0.0538787808498183,0.00779439222942424,-0.00876837068358281,0.0693233625111327,"msa"
"28","uninsured","black","wk3_4","San Francisco-Oakland-Hayward, CA",0.0293673937721066,0.0149453618815432,0.0576115687172605,0.00632618253124434,0.028244174945154,0.0187994116548144,"msa"
"29","uninsured","black","wk4_5","San Francisco-Oakland-Hayward, CA",0.180270146701071,0.0732591477529989,0.0527860582090447,0.00609014782956141,-0.127484088492026,0.0745363524377233,"msa"
"30","uninsured","black","wk5_6","San Francisco-Oakland-Hayward, CA",0.241705411328478,0.0808859353795119,0.0509447367526881,0.00696188827447624,-0.19076067457579,0.0835863556208423,"msa"
"31","uninsured","black","wk1_2","Chicago-Naperville-Elgin, IL-IN-WI",0.16855977113072,0.0417701021983936,0.100429875333452,0.0108335287616344,-0.0681298957972682,0.0430348028318972,"msa"
"32","uninsured","black","wk2_3","Chicago-Naperville-Elgin, IL-IN-WI",0.138924897896496,0.041808609385612,0.0908875445894578,0.00968870995669033,-0.0480373533070378,0.0445782032823678,"msa"
"33","uninsured","black","wk3_4","Chicago-Naperville-Elgin, IL-IN-WI",0.161831424332213,0.0465465740563843,0.0971376756890741,0.00549418290757347,-0.0646937486431385,0.0488253153097051,"msa"
"34","uninsured","black","wk4_5","Chicago-Naperville-Elgin, IL-IN-WI",0.105907740603817,0.0330877656516336,0.110739913954783,0.00717127777588875,0.00483217335096564,0.0375521658871943,"msa"
"35","uninsured","black","wk5_6","Chicago-Naperville-Elgin, IL-IN-WI",0.0599340497316654,0.0206065954283288,0.087171052371705,0.00700156700669577,0.0272370026400397,0.0263339776934244,"msa"
"36","uninsured","black","wk1_2","Dallas-Fort Worth-Arlington, TX",0.248141325002051,0.0482195215373008,0.21728766747797,0.012102448411802,-0.0308536575240813,0.0481742605135227,"msa"
"37","uninsured","black","wk2_3","Dallas-Fort Worth-Arlington, TX",0.230571340485181,0.0576085162789873,0.230753304205674,0.0152288474084253,0.000181963720492895,0.0558011628177344,"msa"
"38","uninsured","black","wk3_4","Dallas-Fort Worth-Arlington, TX",0.315265246856407,0.0679515430213779,0.206972331683457,0.0132538314446814,-0.10829291517295,0.0724018110620776,"msa"
"39","uninsured","black","wk4_5","Dallas-Fort Worth-Arlington, TX",0.24742029965676,0.0632477800504447,0.187552604319902,0.0105316281403942,-0.0598676953368584,0.0701415071939185,"msa"
"40","uninsured","black","wk5_6","Dallas-Fort Worth-Arlington, TX",0.170870206385524,0.0503099044705282,0.195441415822354,0.00870047588653813,0.0245712094368302,0.0557995792024481,"msa"
"41","uninsured","black","wk1_2","Riverside-San Bernardino-Ontario, CA",0.187629189966348,0.137639262169029,0.150450837454538,0.0137489825624372,-0.0371783525118099,0.138112254986539,"msa"
"42","uninsured","black","wk2_3","Riverside-San Bernardino-Ontario, CA",0.367133702894181,0.192828142268487,0.134965193229712,0.0135490399544061,-0.232168509664469,0.196030361511467,"msa"
"43","uninsured","black","wk3_4","Riverside-San Bernardino-Ontario, CA",0.227247603628905,0.0817808879440905,0.135188806878085,0.0133094797771662,-0.0920587967508197,0.0861150824973289,"msa"
"44","uninsured","black","wk4_5","Riverside-San Bernardino-Ontario, CA",0.0987038808060813,0.0443534772535531,0.167775479529888,0.0174351911176918,0.0690715987238066,0.0603115094850587,"msa"
"45","uninsured","black","wk5_6","Riverside-San Bernardino-Ontario, CA",0.107370216787133,0.0809369427661349,0.199939164659742,0.0175181182474339,0.0925689478726088,0.0880043278798264,"msa"
"46","uninsured","black","wk1_2","Detroit-Warren-Dearborn, MI",0.0586497882854574,0.0273705282600589,0.112713588181553,0.0119806206850143,0.0540637998960957,0.033862758904854,"msa"
"47","uninsured","black","wk2_3","Detroit-Warren-Dearborn, MI",0.0359876461025133,0.0170075868675747,0.100707535383383,0.0114652307460951,0.0647198892808695,0.0286754592580485,"msa"
"48","uninsured","black","wk3_4","Detroit-Warren-Dearborn, MI",0.0375155357596996,0.0161491110429266,0.0964149542403276,0.0100918701097539,0.058899418480628,0.0279647419357584,"msa"
"49","uninsured","black","wk4_5","Detroit-Warren-Dearborn, MI",0.123268241767523,0.0286945730940043,0.109959327903708,0.0121344559386318,-0.0133089138638151,0.0396178954089395,"msa"
"50","uninsured","black","wk5_6","Detroit-Warren-Dearborn, MI",0.137224456484132,0.0289919945697508,0.0892035283528924,0.00825570760583174,-0.0480209281312396,0.0334054984937426,"msa"
"51","uninsured","black","wk1_2","Houston-The Woodlands-Sugar Land, TX",0.338151395628025,0.0668982177521023,0.258100843956477,0.0163312523021607,-0.0800505516715483,0.0696304792970253,"msa"
"52","uninsured","black","wk2_3","Houston-The Woodlands-Sugar Land, TX",0.305270857193778,0.0797477745251369,0.273884605535562,0.0170969033219908,-0.0313862516582163,0.0839497442412295,"msa"
"53","uninsured","black","wk3_4","Houston-The Woodlands-Sugar Land, TX",0.229198437794666,0.0501021421081829,0.318595626823283,0.0142725710650523,0.0893971890286164,0.0553515058780856,"msa"
"54","uninsured","black","wk4_5","Houston-The Woodlands-Sugar Land, TX",0.210618159881303,0.0450211818757447,0.319904911898195,0.016416625919105,0.109286752016892,0.0566239244510259,"msa"
"55","uninsured","black","wk5_6","Houston-The Woodlands-Sugar Land, TX",0.187686139967402,0.0391348529886249,0.305134023028317,0.01472857901114,0.117447883060915,0.0491716902499766,"msa"
"56","uninsured","black","wk1_2","Washington-Arlington-Alexandria, DC-VA-MD-WV",0.127044220696129,0.0263956217192737,0.045669589119552,0.00424429822468443,-0.081374631576577,0.0276024090610643,"msa"
"57","uninsured","black","wk2_3","Washington-Arlington-Alexandria, DC-VA-MD-WV",0.112601380189965,0.0261757708023828,0.035649251298412,0.00308136308302617,-0.0769521288915531,0.0260793436480443,"msa"
"58","uninsured","black","wk3_4","Washington-Arlington-Alexandria, DC-VA-MD-WV",0.11445836858262,0.0271423961342946,0.0501622151788367,0.00462333485517483,-0.0642961534037833,0.0280605054934786,"msa"
"59","uninsured","black","wk4_5","Washington-Arlington-Alexandria, DC-VA-MD-WV",0.115525239414168,0.0430334006659968,0.0636816725832191,0.00510105515297817,-0.0518435668309488,0.0458200516315857,"msa"
