geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type,sigdiff
AK,uninsured,wk1,asian,0.17501556940477,0.06541973315766328,0.12822267698902,0.04679289241574999,0.30323824639379005,state,0
AK,uninsured,wk1,black,0.02624369952984222,0.027700201933780248,0.05429239579020929,-0.028048696260367066,0.08053609532005152,state,1
AK,uninsured,wk1,hispanic,0.15405899592245975,0.05027725191132651,0.09854341374619996,0.05551558217625979,0.2526024096686597,state,0
AK,uninsured,wk1,other,0.2328714406958742,0.04472167266836791,0.0876544784300011,0.1452169622658731,0.3205259191258753,state,0
AK,uninsured,wk1,white,0.1625947787836815,0.022209635518159857,0.04353088561559332,0.11906389316808819,0.20612566439927482,state,0
AL,uninsured,wk1,asian,0.1320508955972272,0.12243911511135491,0.23998066561825562,-0.10792977002102841,0.37203156121548286,state,0
AL,uninsured,wk1,black,0.11027063653995453,0.03488372528399348,0.06837210155662722,0.04189853498332731,0.17864273809658177,state,0
AL,uninsured,wk1,hispanic,0.4120973624012681,0.16849404925459624,0.33024833653900865,0.08184902586225945,0.7423456989402768,state,0
AL,uninsured,wk1,other,0.031066907803539302,0.024676316254322768,0.048365579858472625,-0.017298672054933323,0.07943248766201193,state,1
AL,uninsured,wk1,white,0.13669782967024002,0.03253746672760445,0.06377343478610473,0.0729243948841353,0.20047126445634475,state,0
AR,uninsured,wk1,asian,0,0,0,0,0,state,1
AR,uninsured,wk1,black,0.03875574930254253,0.03201076182923704,0.06274109318530459,-0.023985343882762057,0.10149684248784713,state,0
AR,uninsured,wk1,hispanic,0.30607076914656495,0.19701063227829013,0.3861408392654487,-0.08007007011888373,0.6922116084120136,state,0
AR,uninsured,wk1,other,0.19570032705952844,0.1580844487797442,0.30984551960829865,-0.1141451925487702,0.5055458466678271,state,0
AR,uninsured,wk1,white,0.09769927208083705,0.01660107375801906,0.03253810456571736,0.06516116751511969,0.1302373766465544,state,0
AZ,uninsured,wk1,asian,0.04937558281115421,0.048179264060056466,0.09443135755771068,-0.04505577474655647,0.14380694036886488,state,1
AZ,uninsured,wk1,black,0.08228631095919575,0.04259913129506903,0.0834942973383353,-0.0012079863791395473,0.16578060829753105,state,1
AZ,uninsured,wk1,hispanic,0.31219710928125066,0.044913084259340506,0.0880296451483074,0.22416746413294325,0.4002267544295581,state,1
AZ,uninsured,wk1,other,0.09455382932703453,0.047539661530824895,0.0931777366004168,0.0013760927266177336,0.18773156592745133,state,0
AZ,uninsured,wk1,white,0.1484564155290085,0.018659510775858198,0.036572641120682065,0.11188377440832645,0.18502905664969058,state,0
CA,uninsured,wk1,asian,0.15748297911428613,0.04285118397004747,0.08398832058129303,0.0734946585329931,0.24147129969557918,state,0
CA,uninsured,wk1,black,0.09095862254412287,0.04174905698970462,0.08182815169982105,0.009130470844301825,0.17278677424394392,state,0
CA,uninsured,wk1,hispanic,0.1480589562629568,0.026467683022213206,0.05187665872353788,0.0961822975394189,0.19993561498649468,state,0
CA,uninsured,wk1,other,0.1124292387336636,0.05456413284243786,0.1069457003711782,0.005483538362485399,0.2193749391048418,state,0
